order,ctryname,cowcode,un_region_name,un_continent_name,ehead,democracy,regime,leaderspellreg,tenurereg,edatereg,rightcensreg
830,Jamaica,51,Caribbean,Americas,Michael Manley,Democracy,Parliamentary Dem,Michael Manley.Jamaica.1972.Parliamentary Dem,8,1972,1
831,Jamaica,51,Caribbean,Americas,Edward Seaga,Democracy,Parliamentary Dem,Edward Seaga.Jamaica.1980.Parliamentary Dem,9,1980,1
832,Jamaica,51,Caribbean,Americas,Michael Manley,Democracy,Parliamentary Dem,Michael Manley.Jamaica.1989.Parliamentary Dem,3,1989,1
833,Jamaica,51,Caribbean,Americas,Percival Patterson,Democracy,Parliamentary Dem,Percival Patterson.Jamaica.1992.Parliamentary Dem,14,1992,1
834,Jamaica,51,Caribbean,Americas,Portia Simpson Miller,Democracy,Parliamentary Dem,Portia Simpson Miller.Jamaica.2006.Parliamentary Dem,1,2006,1
835,Jamaica,51,Caribbean,Americas,Orette Bruce Golding,Democracy,Parliamentary Dem,Orette Bruce Golding.Jamaica.1946.Parliamentary Dem,2,2007,0
836,Japan,740,Eastern Asia,Asia,Shigeru Yoshida,Democracy,Parliamentary Dem,Shigeru Yoshida.Japan.1946.Parliamentary Dem,1,1946,0
837,Japan,740,Eastern Asia,Asia,Tetsu Katayama,Democracy,Parliamentary Dem,Tetsu Katayama.Japan.1947.Parliamentary Dem,1,1947,1
838,Japan,740,Eastern Asia,Asia,Shigeru Yoshida,Democracy,Parliamentary Dem,Shigeru Yoshida.Japan.1948.Parliamentary Dem,6,1948,1
839,Japan,740,Eastern Asia,Asia,Ichiro Hatoyama,Democracy,Parliamentary Dem,Ichiro Hatoyama.Japan.1954.Parliamentary Dem,2,1954,1
840,Japan,740,Eastern Asia,Asia,Tanzan Ishibashi,Democracy,Parliamentary Dem,Tanzan Ishibashi.Japan.1956.Parliamentary Dem,1,1956,1
841,Japan,740,Eastern Asia,Asia,Nobusuke Kishi,Democracy,Parliamentary Dem,Nobusuke Kishi.Japan.1957.Parliamentary Dem,3,1957,1
842,Japan,740,Eastern Asia,Asia,Hayato Ikeda,Democracy,Parliamentary Dem,Hayato Ikeda.Japan.1960.Parliamentary Dem,4,1960,1
843,Japan,740,Eastern Asia,Asia,Eisaku Sato,Democracy,Parliamentary Dem,Eisaku Sato.Japan.1964.Parliamentary Dem,8,1964,1
844,Japan,740,Eastern Asia,Asia,Kakuei Tanaka,Democracy,Parliamentary Dem,Kakuei Tanaka.Japan.1972.Parliamentary Dem,2,1972,1
845,Japan,740,Eastern Asia,Asia,Takeo Miki,Democracy,Parliamentary Dem,Takeo Miki.Japan.1974.Parliamentary Dem,2,1974,1
846,Japan,740,Eastern Asia,Asia,Takeo Fukuda,Democracy,Parliamentary Dem,Takeo Fukuda.Japan.1976.Parliamentary Dem,2,1976,1
847,Japan,740,Eastern Asia,Asia,Masayoshi Ohira,Democracy,Parliamentary Dem,Masayoshi Ohira.Japan.1978.Parliamentary Dem,2,1978,0
848,Japan,740,Eastern Asia,Asia,Zenko Suzuki,Democracy,Parliamentary Dem,Zenko Suzuki.Japan.1980.Parliamentary Dem,2,1980,1
849,Japan,740,Eastern Asia,Asia,Yasuhiro Nakasone,Democracy,Parliamentary Dem,Yasuhiro Nakasone.Japan.1982.Parliamentary Dem,5,1982,1
850,Japan,740,Eastern Asia,Asia,Noboru Takeshita,Democracy,Parliamentary Dem,Noboru Takeshita.Japan.1987.Parliamentary Dem,2,1987,1
851,Japan,740,Eastern Asia,Asia,Sosuke Uno,Democracy,Parliamentary Dem,Sosuke Uno.Japan.1989.Parliamentary Dem,2,1989,1
852,Japan,740,Eastern Asia,Asia,Kiichi Miyazawa,Democracy,Parliamentary Dem,Kiichi Miyazawa.Japan.1991.Parliamentary Dem,2,1991,1
853,Japan,740,Eastern Asia,Asia,Morihiro Hosokawa,Democracy,Parliamentary Dem,Morihiro Hosokawa.Japan.1993.Parliamentary Dem,1,1993,1
854,Japan,740,Eastern Asia,Asia,Tomiichi Murayama,Democracy,Parliamentary Dem,Tomiichi Murayama.Japan.1994.Parliamentary Dem,2,1994,1
855,Japan,740,Eastern Asia,Asia,Ryutaro Hashimoto,Democracy,Parliamentary Dem,Ryutaro Hashimoto.Japan.1996.Parliamentary Dem,2,1996,1
856,Japan,740,Eastern Asia,Asia,Keizo Obuchi,Democracy,Parliamentary Dem,Keizo Obuchi.Japan.1998.Parliamentary Dem,2,1998,0
857,Japan,740,Eastern Asia,Asia,Yoshiro Mori,Democracy,Parliamentary Dem,Yoshiro Mori.Japan.2000.Parliamentary Dem,1,2000,1
858,Japan,740,Eastern Asia,Asia,Junichiro Koizumi,Democracy,Parliamentary Dem,Junichiro Koizumi.Japan.2001.Parliamentary Dem,5,2001,1
859,Japan,740,Eastern Asia,Asia,Shinzo Abe,Democracy,Parliamentary Dem,Shinzo Abe.Japan.2006.Parliamentary Dem,1,2006,1
860,Japan,740,Eastern Asia,Asia,Yasuo Fukuda,Democracy,Parliamentary Dem,Yasuo Fukuda.Japan.2007.Parliamentary Dem,1,2007,1
861,Japan,740,Eastern Asia,Asia,Taro Aso,Democracy,Parliamentary Dem,Taro Aso.Japan.2008.Parliamentary Dem,1,2008,0
862,Jordan,663,Western Asia,Asia,Abdullah bin Hussein,Non-democracy,Monarchy,Abdullah bin Hussein.Jordan.1946.Monarchy,5,1946,0
863,Jordan,663,Western Asia,Asia,Talal bin Abdullah,Non-democracy,Monarchy,Talal bin Abdullah.Jordan.1951.Monarchy,1,1951,1
864,Jordan,663,Western Asia,Asia,Hussein bin Talal,Non-democracy,Monarchy,Hussein bin Talal.Jordan.1952.Monarchy,47,1952,0
865,Jordan,663,Western Asia,Asia,Abdallah ibn al-Hussein al-Hashimi,Non-democracy,Monarchy,Abdallah ibn al-Hussein al-Hashimi.Jordan.1999.Monarchy,10,1999,0
866,Kazakhstan,705,Central Asia,Asia,Nursultan Nazarbayev,Non-democracy,Civilian Dict,Nursultan Nazarbayev.Kazakhstan.1963.Civilian Dict,18,1991,0
867,Kenya,501,Eastern Africa,Africa,Jomo Kenyatta,Non-democracy,Civilian Dict,Jomo Kenyatta.Kenya.1963.Civilian Dict,15,1963,0
868,Kenya,501,Eastern Africa,Africa,Daniel Arap Moi,Non-democracy,Civilian Dict,Daniel Arap Moi.Kenya.1978.Civilian Dict,20,1978,1
869,Kenya,501,Eastern Africa,Africa,Daniel Arap Moi,Democracy,Presidential Dem,Daniel Arap Moi.Kenya.1998.Presidential Dem,4,1998,1
870,Kenya,501,Eastern Africa,Africa,Mwai Kibaki,Democracy,Presidential Dem,Mwai Kibaki.Kenya.2002.Presidential Dem,7,2002,0
871,Kiribati,946,Micronesia,Oceania,Ieremia Tabai,Democracy,Parliamentary Dem,Ieremia Tabai.Kiribati.1979.Parliamentary Dem,3,1979,1
872,Kiribati,946,Micronesia,Oceania,Rota Onorio,Democracy,Parliamentary Dem,Rota Onorio.Kiribati.1982.Parliamentary Dem,1,1982,1
873,Kiribati,946,Micronesia,Oceania,Ieremia Tabai,Democracy,Parliamentary Dem,Ieremia Tabai.Kiribati.1983.Parliamentary Dem,8,1983,1
874,Kiribati,946,Micronesia,Oceania,Teatao Teannaki,Democracy,Parliamentary Dem,Teatao Teannaki.Kiribati.1991.Parliamentary Dem,3,1991,1
875,Kiribati,946,Micronesia,Oceania,Teburoro Tito,Democracy,Parliamentary Dem,Teburoro Tito.Kiribati.1994.Parliamentary Dem,9,1994,1
876,Kiribati,946,Micronesia,Oceania,Anote Tong,Democracy,Parliamentary Dem,Anote Tong.Kiribati.2003.Parliamentary Dem,6,2003,0
877,Kuwait,690,Western Asia,Asia,Sheikh Abdullah Al Salim Al Sabah,Non-democracy,Monarchy,Sheikh Abdullah Al Salim Al Sabah.Kuwait.1961.Monarchy,4,1961,0
878,Kuwait,690,Western Asia,Asia,Sheikh Sabah Al Salim Al Sabah,Non-democracy,Monarchy,Sheikh Sabah Al Salim Al Sabah.Kuwait.1965.Monarchy,12,1965,0
879,Kuwait,690,Western Asia,Asia,Sheikh Jabir Al Ahmad Al Jabir Al Sabah,Non-democracy,Monarchy,Sheikh Jabir Al Ahmad Al Jabir Al Sabah.Kuwait.1977.Monarchy,29,1977,1
880,Kuwait,690,Western Asia,Asia,Sheikh Sabah Al Ahmad Al Jabir Al Sabah,Non-democracy,Monarchy,Sheikh Sabah Al Ahmad Al Jabir Al Sabah.Kuwait.2006.Monarchy,3,2006,0
881,Kyrgyzstan,703,Central Asia,Asia,Askar Akayev,Non-democracy,Civilian Dict,Askar Akayev.Kyrgyzstan.1991.Civilian Dict,14,1991,1
882,Kyrgyzstan,703,Central Asia,Asia,Feliks Kulov,Democracy,Mixed Dem,Feliks Kulov.Kyrgyzstan.2005.Mixed Dem,2,2005,1
883,Kyrgyzstan,703,Central Asia,Asia,Igor Chudinov,Democracy,Mixed Dem,Igor Chudinov.Kyrgyzstan.2007.Mixed Dem,2,2007,0
884,Laos,812,South-Eastern Asia,Asia,Prince Souvanna Phouma,Democracy,Parliamentary Dem,Prince Souvanna Phouma.Laos.1953.Parliamentary Dem,1,1953,1
885,Laos,812,South-Eastern Asia,Asia,Katay Don Sasorith,Democracy,Parliamentary Dem,Katay Don Sasorith.Laos.1954.Parliamentary Dem,2,1954,1
886,Laos,812,South-Eastern Asia,Asia,Prince Souvanna Phouma,Democracy,Parliamentary Dem,Prince Souvanna Phouma.Laos.1956.Parliamentary Dem,2,1956,1
887,Laos,812,South-Eastern Asia,Asia,Phoui Sananikone,Democracy,Parliamentary Dem,Phoui Sananikone.Laos.1958.Parliamentary Dem,1,1958,1
888,Laos,812,South-Eastern Asia,Asia,Phoumi Nosavan,Non-democracy,Military Dict,Phoumi Nosavan.Laos.1959.Military Dict,3,1959,1
889,Laos,812,South-Eastern Asia,Asia,Prince Souvanna Phouma,Non-democracy,Civilian Dict,Prince Souvanna Phouma.Laos.1962.Civilian Dict,13,1962,1
890,Laos,812,South-Eastern Asia,Asia,Kaysone Phomvihan,Non-democracy,Civilian Dict,Kaysone Phomvihan.Laos.1975.Civilian Dict,17,1975,0
891,Laos,812,South-Eastern Asia,Asia,Khamtay Siphandon,Non-democracy,Military Dict,Khamtay Siphandon.Laos.1992.Military Dict,14,1992,1
892,Laos,812,South-Eastern Asia,Asia,Choummaly Sayasone,Non-democracy,Military Dict,Choummaly Sayasone.Laos.2006.Military Dict,3,2006,0
893,Latvia,367,Northern Europe,Europe,Ivars Godmanis,Democracy,Parliamentary Dem,Ivars Godmanis.Latvia.1991.Parliamentary Dem,2,1991,1
894,Latvia,367,Northern Europe,Europe,Valdis Birkavs,Democracy,Parliamentary Dem,Valdis Birkavs.Latvia.1993.Parliamentary Dem,1,1993,1
895,Latvia,367,Northern Europe,Europe,Maris Gailis,Democracy,Parliamentary Dem,Maris Gailis.Latvia.1994.Parliamentary Dem,1,1994,1
896,Latvia,367,Northern Europe,Europe,Andris Skele,Democracy,Parliamentary Dem,Andris Skele.Latvia.1995.Parliamentary Dem,2,1995,1
897,Latvia,367,Northern Europe,Europe,Guntars Krasts,Democracy,Parliamentary Dem,Guntars Krasts.Latvia.1997.Parliamentary Dem,1,1997,1
898,Latvia,367,Northern Europe,Europe,Vilis Kristopans,Democracy,Parliamentary Dem,Vilis Kristopans.Latvia.1998.Parliamentary Dem,1,1998,1
899,Latvia,367,Northern Europe,Europe,Andris Skele,Democracy,Parliamentary Dem,Andris Skele.Latvia.1999.Parliamentary Dem,1,1999,1
900,Latvia,367,Northern Europe,Europe,Andris Berzins,Democracy,Parliamentary Dem,Andris Berzins.Latvia.2000.Parliamentary Dem,2,2000,1
901,Latvia,367,Northern Europe,Europe,Einars Repse,Democracy,Parliamentary Dem,Einars Repse.Latvia.2002.Parliamentary Dem,2,2002,1
902,Latvia,367,Northern Europe,Europe,Aigars Kalvitis,Democracy,Parliamentary Dem,Aigars Kalvitis.Latvia.2004.Parliamentary Dem,3,2004,1
903,Latvia,367,Northern Europe,Europe,Ivars Godmanis,Democracy,Parliamentary Dem,Ivars Godmanis.Latvia.1946.Parliamentary Dem,2,2007,0
904,Lebanon,660,Western Asia,Asia,Riyad es-Solh,Democracy,Parliamentary Dem,Riyad es-Solh.Lebanon.1946.Parliamentary Dem,5,1946,1
905,Lebanon,660,Western Asia,Asia,Abdullah Aref al-Yafi,Democracy,Parliamentary Dem,Abdullah Aref al-Yafi.Lebanon.1951.Parliamentary Dem,1,1951,1
906,Lebanon,660,Western Asia,Asia,Amir Khalid Chehab,Democracy,Parliamentary Dem,Amir Khalid Chehab.Lebanon.1952.Parliamentary Dem,1,1952,1
907,Lebanon,660,Western Asia,Asia,Abdullah Aref al-Yafi,Democracy,Parliamentary Dem,Abdullah Aref al-Yafi.Lebanon.1953.Parliamentary Dem,1,1953,1
908,Lebanon,660,Western Asia,Asia,Abd' Rashin Sami es-Solh,Democracy,Parliamentary Dem,Abd' Rashin Sami es-Solh.Lebanon.1954.Parliamentary Dem,1,1954,1
909,Lebanon,660,Western Asia,Asia,Rashid Karame,Democracy,Parliamentary Dem,Rashid Karame.Lebanon.1955.Parliamentary Dem,1,1955,1
910,Lebanon,660,Western Asia,Asia,Abd' Rashin Sami es-Solh,Democracy,Parliamentary Dem,Abd' Rashin Sami es-Solh.Lebanon.1956.Parliamentary Dem,2,1956,1
911,Lebanon,660,Western Asia,Asia,Rashid Karame,Democracy,Parliamentary Dem,Rashid Karame.Lebanon.1958.Parliamentary Dem,2,1958,1
912,Lebanon,660,Western Asia,Asia,Saeb Sallam,Democracy,Parliamentary Dem,Saeb Sallam.Lebanon.1960.Parliamentary Dem,1,1960,1
913,Lebanon,660,Western Asia,Asia,Rashid Karame,Democracy,Parliamentary Dem,Rashid Karame.Lebanon.1961.Parliamentary Dem,3,1961,1
914,Lebanon,660,Western Asia,Asia,Hussein al-Oweini,Democracy,Parliamentary Dem,Hussein al-Oweini.Lebanon.1964.Parliamentary Dem,1,1964,1
915,Lebanon,660,Western Asia,Asia,Rashid Karame,Democracy,Parliamentary Dem,Rashid Karame.Lebanon.1965.Parliamentary Dem,3,1965,1
916,Lebanon,660,Western Asia,Asia,Abdullah Aref al-Yafi,Democracy,Parliamentary Dem,Abdullah Aref al-Yafi.Lebanon.1968.Parliamentary Dem,1,1968,1
917,Lebanon,660,Western Asia,Asia,Rashid Karame,Democracy,Parliamentary Dem,Rashid Karame.Lebanon.1969.Parliamentary Dem,1,1969,1
918,Lebanon,660,Western Asia,Asia,Saeb Sallam,Democracy,Parliamentary Dem,Saeb Sallam.Lebanon.1970.Parliamentary Dem,3,1970,1
919,Lebanon,660,Western Asia,Asia,Takieddin es-Solh,Democracy,Parliamentary Dem,Takieddin es-Solh.Lebanon.1973.Parliamentary Dem,1,1973,1
920,Lebanon,660,Western Asia,Asia,Rashid es-Solh,Democracy,Parliamentary Dem,Rashid es-Solh.Lebanon.1974.Parliamentary Dem,1,1974,1
921,Lebanon,660,Western Asia,Asia,Soleiman Kabalan Franjieh,Non-democracy,Civilian Dict,Soleiman Kabalan Franjieh.Lebanon.1975.Civilian Dict,1,1975,1
922,Lebanon,660,Western Asia,Asia,Elias Sarkis,Non-democracy,Civilian Dict,Elias Sarkis.Lebanon.1976.Civilian Dict,6,1976,1
923,Lebanon,660,Western Asia,Asia,Amine Pierre Gemayel,Non-democracy,Civilian Dict,Amine Pierre Gemayel.Lebanon.1982.Civilian Dict,6,1982,1
924,Lebanon,660,Western Asia,Asia,Michel Aoun,Non-democracy,Military Dict,Michel Aoun.Lebanon.1988.Military Dict,1,1988,1
925,Lebanon,660,Western Asia,Asia,Elias Khalil Haraoui,Non-democracy,Civilian Dict,Elias Khalil Haraoui.Lebanon.1989.Civilian Dict,9,1989,1
926,Lebanon,660,Western Asia,Asia,Emile Geamil Lahoud,Non-democracy,Military Dict,Emile Geamil Lahoud.Lebanon.1998.Military Dict,9,1998,1
927,Lebanon,660,Western Asia,Asia,Fouad Siniora,Non-democracy,Civilian Dict,Fouad Siniora.Lebanon.2007.Civilian Dict,1,2007,1
928,Lebanon,660,Western Asia,Asia,Michel Suleiman,Non-democracy,Military Dict,Michel Suleiman.Lebanon.2008.Military Dict,1,2008,0
929,Lesotho,570,Southern Africa,Africa,Leabua Jonathan,Non-democracy,Civilian Dict,Leabua Jonathan.Lesotho.1966.Civilian Dict,20,1966,1
930,Lesotho,570,Southern Africa,Africa,Justin Metsino Lekhanya,Non-democracy,Military Dict,Justin Metsino Lekhanya.Lesotho.1986.Military Dict,5,1986,1
931,Lesotho,570,Southern Africa,Africa,Elias Phisoana Ramaema,Non-democracy,Military Dict,Elias Phisoana Ramaema.Lesotho.1991.Military Dict,2,1991,1
932,Lesotho,570,Southern Africa,Africa,Ntsu Mokhehle,Non-democracy,Civilian Dict,Ntsu Mokhehle.Lesotho.1993.Civilian Dict,5,1993,1
933,Lesotho,570,Southern Africa,Africa,Pakalitha Mosisili,Non-democracy,Civilian Dict,Pakalitha Mosisili.Lesotho.1946.Civilian Dict,11,1998,0
934,Liberia,450,Western Africa,Africa,William Tubman,Non-democracy,Civilian Dict,William Tubman.Liberia.1946.Civilian Dict,25,1946,0
935,Liberia,450,Western Africa,Africa,"William Tolbert, Jr.",Non-democracy,Civilian Dict,"William Tolbert, Jr..Liberia.1971.Civilian Dict",9,1971,0
936,Liberia,450,Western Africa,Africa,Samuel Doe,Non-democracy,Military Dict,Samuel Doe.Liberia.1980.Military Dict,10,1980,0
937,Liberia,450,Western Africa,Africa,Amos Sawyer,Non-democracy,Civilian Dict,Amos Sawyer.Liberia.1990.Civilian Dict,3,1990,1
938,Liberia,450,Western Africa,Africa,Philip Banks,Non-democracy,Civilian Dict,Philip Banks.Liberia.1993.Civilian Dict,1,1993,1
939,Liberia,450,Western Africa,Africa,David Kpomakpor,Non-democracy,Civilian Dict,David Kpomakpor.Liberia.1994.Civilian Dict,1,1994,1
940,Liberia,450,Western Africa,Africa,Wilton Sankawnlo,Non-democracy,Civilian Dict,Wilton Sankawnlo.Liberia.1995.Civilian Dict,1,1995,1
941,Liberia,450,Western Africa,Africa,Ruth Perry,Non-democracy,Civilian Dict,Ruth Perry.Liberia.1996.Civilian Dict,1,1996,1
942,Liberia,450,Western Africa,Africa,Charles Taylor,Non-democracy,Civilian Dict,Charles Taylor.Liberia.1997.Civilian Dict,6,1997,1
943,Liberia,450,Western Africa,Africa,Charles Gyude Bryant,Non-democracy,Civilian Dict,Charles Gyude Bryant.Liberia.2003.Civilian Dict,3,2003,1
944,Liberia,450,Western Africa,Africa,Ellen Johnson-Sirleaf,Democracy,Presidential Dem,Ellen Johnson-Sirleaf.Liberia.2006.Presidential Dem,3,2006,0
945,Libyan Arab Jamahiriya,620,Northern Africa,Africa,Idris I,Non-democracy,Monarchy,Idris I.Libyan Arab Jamahiriya.1951.Monarchy,18,1951,1
946,Libyan Arab Jamahiriya,620,Northern Africa,Africa,Muammar al-Qaddafi,Non-democracy,Military Dict,Muammar al-Qaddafi.Libyan Arab Jamahiriya.1969.Military Dict,40,1969,0
947,Liechtenstein,223,Western Europe,Europe,Alexander Frick,Democracy,Parliamentary Dem,Alexander Frick.Liechtenstein.1946.Parliamentary Dem,16,1946,1
948,Liechtenstein,223,Western Europe,Europe,Gerard Batliner,Democracy,Parliamentary Dem,Gerard Batliner.Liechtenstein.1962.Parliamentary Dem,8,1962,1
949,Liechtenstein,223,Western Europe,Europe,Alfred Hilbe,Democracy,Parliamentary Dem,Alfred Hilbe.Liechtenstein.1970.Parliamentary Dem,4,1970,1
950,Liechtenstein,223,Western Europe,Europe,Walter Kieber,Democracy,Parliamentary Dem,Walter Kieber.Liechtenstein.1974.Parliamentary Dem,4,1974,1
951,Liechtenstein,223,Western Europe,Europe,Hans Brunhart,Democracy,Parliamentary Dem,Hans Brunhart.Liechtenstein.1978.Parliamentary Dem,15,1978,1
952,Liechtenstein,223,Western Europe,Europe,Mario Frick,Democracy,Parliamentary Dem,Mario Frick.Liechtenstein.1993.Parliamentary Dem,8,1993,1
953,Liechtenstein,223,Western Europe,Europe,Otmar Hasler,Democracy,Parliamentary Dem,Otmar Hasler.Liechtenstein.2001.Parliamentary Dem,8,2001,0
954,Lithuania,368,Northern Europe,Europe,Gediminas Vagnorius,Democracy,Mixed Dem,Gediminas Vagnorius.Lithuania.1991.Mixed Dem,1,1991,1
955,Lithuania,368,Northern Europe,Europe,Bronislovas Lubys,Democracy,Mixed Dem,Bronislovas Lubys.Lithuania.1992.Mixed Dem,1,1992,1
956,Lithuania,368,Northern Europe,Europe,Adolfas Slezevicius,Democracy,Mixed Dem,Adolfas Slezevicius.Lithuania.1993.Mixed Dem,3,1993,1
957,Lithuania,368,Northern Europe,Europe,Gediminas Vagnorius,Democracy,Mixed Dem,Gediminas Vagnorius.Lithuania.1996.Mixed Dem,3,1996,1
958,Lithuania,368,Northern Europe,Europe,Andrius Kubilius,Democracy,Mixed Dem,Andrius Kubilius.Lithuania.1999.Mixed Dem,1,1999,1
959,Lithuania,368,Northern Europe,Europe,Rolandas Paksas,Democracy,Mixed Dem,Rolandas Paksas.Lithuania.2000.Mixed Dem,1,2000,1
960,Lithuania,368,Northern Europe,Europe,Algirdas Brazauskas,Democracy,Mixed Dem,Algirdas Brazauskas.Lithuania.2001.Mixed Dem,5,2001,1
961,Lithuania,368,Northern Europe,Europe,Gediminas Kirkilas,Democracy,Mixed Dem,Gediminas Kirkilas.Lithuania.2006.Mixed Dem,2,2006,1
962,Lithuania,368,Northern Europe,Europe,Andrius Kubilius,Democracy,Mixed Dem,Andrius Kubilius.Lithuania.2008.Mixed Dem,1,2008,0
963,Luxembourg,212,Western Europe,Europe,Pierre Dupong,Democracy,Parliamentary Dem,Pierre Dupong.Luxembourg.1946.Parliamentary Dem,7,1946,0
964,Luxembourg,212,Western Europe,Europe,Joseph Bech,Democracy,Parliamentary Dem,Joseph Bech.Luxembourg.1953.Parliamentary Dem,5,1953,1
965,Luxembourg,212,Western Europe,Europe,Pierre Frieden,Democracy,Parliamentary Dem,Pierre Frieden.Luxembourg.1958.Parliamentary Dem,1,1958,1
966,Luxembourg,212,Western Europe,Europe,Pierre Werner,Democracy,Parliamentary Dem,Pierre Werner.Luxembourg.1959.Parliamentary Dem,15,1959,1
967,Luxembourg,212,Western Europe,Europe,Gaston Thorn,Democracy,Parliamentary Dem,Gaston Thorn.Luxembourg.1974.Parliamentary Dem,5,1974,1
968,Luxembourg,212,Western Europe,Europe,Pierre Werner,Democracy,Parliamentary Dem,Pierre Werner.Luxembourg.1979.Parliamentary Dem,5,1979,1
969,Luxembourg,212,Western Europe,Europe,Jacques Santer,Democracy,Parliamentary Dem,Jacques Santer.Luxembourg.1984.Parliamentary Dem,11,1984,1
970,Luxembourg,212,Western Europe,Europe,Jean-Claude Juncker,Democracy,Parliamentary Dem,Jean-Claude Juncker.Luxembourg.1995.Parliamentary Dem,14,1995,0
971,Macedonia,343,Southern Europe,Europe,Nikola Kljusev,Democracy,Mixed Dem,Nikola Kljusev.Macedonia.1991.Mixed Dem,1,1991,1
972,Macedonia,343,Southern Europe,Europe,Branko Crvenkovski,Democracy,Mixed Dem,Branko Crvenkovski.Macedonia.1992.Mixed Dem,6,1992,1
973,Macedonia,343,Southern Europe,Europe,Ljupco Georgievski,Democracy,Mixed Dem,Ljupco Georgievski.Macedonia.1998.Mixed Dem,4,1998,1
974,Macedonia,343,Southern Europe,Europe,Branko Crvenkovski,Democracy,Mixed Dem,Branko Crvenkovski.Macedonia.2002.Mixed Dem,2,2002,1
975,Macedonia,343,Southern Europe,Europe,Vlado Buckovski,Democracy,Mixed Dem,Vlado Buckovski.Macedonia.2004.Mixed Dem,2,2004,1
976,Macedonia,343,Southern Europe,Europe,Nikola Gruevski,Democracy,Mixed Dem,Nikola Gruevski.Macedonia.2006.Mixed Dem,3,2006,0
977,Madagascar,580,Eastern Africa,Africa,Philibert Tsiranana,Non-democracy,Civilian Dict,Philibert Tsiranana.Madagascar.1960.Civilian Dict,12,1960,1
978,Madagascar,580,Eastern Africa,Africa,Gabriel Ramanantsoa,Non-democracy,Military Dict,Gabriel Ramanantsoa.Madagascar.1972.Military Dict,3,1972,1
979,Madagascar,580,Eastern Africa,Africa,Didier Ratsiraka,Non-democracy,Military Dict,Didier Ratsiraka.Madagascar.1975.Military Dict,18,1975,1
980,Madagascar,580,Eastern Africa,Africa,Francisque Ravony,Democracy,Mixed Dem,Francisque Ravony.Madagascar.1993.Mixed Dem,2,1993,1
981,Madagascar,580,Eastern Africa,Africa,Emmanuel Rakotovahiny,Democracy,Mixed Dem,Emmanuel Rakotovahiny.Madagascar.1995.Mixed Dem,1,1995,1
982,Madagascar,580,Eastern Africa,Africa,Norbert Ratsirahonana,Democracy,Mixed Dem,Norbert Ratsirahonana.Madagascar.1996.Mixed Dem,1,1996,1
983,Madagascar,580,Eastern Africa,Africa,Pascal Rakotomavo,Democracy,Mixed Dem,Pascal Rakotomavo.Madagascar.1997.Mixed Dem,1,1997,1
984,Madagascar,580,Eastern Africa,Africa,Rene Tantely Andrianarivo,Democracy,Mixed Dem,Rene Tantely Andrianarivo.Madagascar.1998.Mixed Dem,4,1998,1
985,Madagascar,580,Eastern Africa,Africa,Jacques Sylla,Democracy,Mixed Dem,Jacques Sylla.Madagascar.2002.Mixed Dem,5,2002,1
986,Madagascar,580,Eastern Africa,Africa,Charles Rabemananjara,Democracy,Mixed Dem,Charles Rabemananjara.Madagascar.2007.Mixed Dem,2,2007,0
987,Malawi,553,Eastern Africa,Africa,H. Kamuzu Banda,Non-democracy,Civilian Dict,H. Kamuzu Banda.Malawi.1964.Civilian Dict,30,1964,1
988,Malawi,553,Eastern Africa,Africa,Bakili Muluzi,Democracy,Presidential Dem,Bakili Muluzi.Malawi.1994.Presidential Dem,10,1994,1
989,Malawi,553,Eastern Africa,Africa,Bingu wa Mutharika,Democracy,Presidential Dem,Bingu wa Mutharika.Malawi.2004.Presidential Dem,5,2004,0
990,Malaysia,820,South-Eastern Asia,Asia,Tunku Abdul Rahman Putra,Non-democracy,Civilian Dict,Tunku Abdul Rahman Putra.Malaysia.1957.Civilian Dict,13,1957,1
991,Malaysia,820,South-Eastern Asia,Asia,Tun Abdul Razak bin Hussein,Non-democracy,Civilian Dict,Tun Abdul Razak bin Hussein.Malaysia.1970.Civilian Dict,6,1970,0
992,Malaysia,820,South-Eastern Asia,Asia,Hussein bin Onn,Non-democracy,Civilian Dict,Hussein bin Onn.Malaysia.1976.Civilian Dict,5,1976,1
993,Malaysia,820,South-Eastern Asia,Asia,Mahathir bin Mohamed,Non-democracy,Civilian Dict,Mahathir bin Mohamed.Malaysia.1981.Civilian Dict,22,1981,1
994,Malaysia,820,South-Eastern Asia,Asia,Abdullah Ahmad Badawi,Non-democracy,Civilian Dict,Abdullah Ahmad Badawi.Malaysia.2003.Civilian Dict,6,2003,0
995,Maldives,781,Southern Asia,Asia,Muhammad Farid Didi,Non-democracy,Monarchy,Muhammad Farid Didi.Maldives.1965.Monarchy,3,1965,1
996,Maldives,781,Southern Asia,Asia,Ibrahim Nasir,Non-democracy,Civilian Dict,Ibrahim Nasir.Maldives.1968.Civilian Dict,10,1968,1
997,Maldives,781,Southern Asia,Asia,Maumoon Abdul Gayoom,Non-democracy,Civilian Dict,Maumoon Abdul Gayoom.Maldives.1978.Civilian Dict,30,1978,1
998,Maldives,781,Southern Asia,Asia,Mohamed Nasheed,Democracy,Presidential Dem,Mohamed Nasheed.Maldives.2008.Presidential Dem,1,2008,0
999,Mali,432,Western Africa,Africa,Modibo Keita,Non-democracy,Civilian Dict,Modibo Keita.Mali.1960.Civilian Dict,8,1960,1
1000,Mali,432,Western Africa,Africa,Moussa Traore,Non-democracy,Military Dict,Moussa Traore.Mali.1968.Military Dict,23,1968,1
